;link;russian_name;original_name;country;film_type;rate
125;kinopoisk.ru/film/848894/;Вторая жизнь Уве;En man som heter Ove, 2015;Швеция;драма, мелодрама;8.2
126;kinopoisk.ru/film/2950/;Пробуждение;Awakenings, 1990;США;драма, биография;8.2
127;kinopoisk.ru/film/77531/;Тренер Картер;Coach Carter, 2005;США, Германия;биография, спорт;8.2
128;kinopoisk.ru/film/8221/;Мой сосед Тоторо;Tonari no Totoro, 1988;Япония;аниме, мультфильм;8.2
129;kinopoisk.ru/film/280172/;Как приручить дракона;How to Train Your Dragon, 2010;США;мультфильм, фэнтези;8.2
130;kinopoisk.ru/film/349/;Хороший, плохой, злой;buono, il brutto, il cattivo, Il, 1966;Италия, Испания;приключения, вестерн;8.2
131;kinopoisk.ru/film/44238/;Добро пожаловать, или Посторонним вход воспрещен;1964;СССР;комедия, семейный;8.1
132;kinopoisk.ru/film/371/;Спасти рядового Райана;Saving Private Ryan, 1998;США;военный, драма;8.1
133;kinopoisk.ru/film/485311/;Король говорит!;King's Speech, The, 2010;Великобритания, США;драма, биография;8.1
134;kinopoisk.ru/film/77132/;Мемуары гейши;Memoirs of a Geisha, 2005;Франция, Япония;драма, мелодрама;8.1
135;kinopoisk.ru/film/6006/;Мадагаскар;Madagascar, 2005;США;мультфильм, комедия;8.1
136;kinopoisk.ru/film/843649/;Мстители: Война бесконечности;Avengers: Infinity War, 2018;США;фантастика, боевик;8.1
137;kinopoisk.ru/film/7097/;Балто;Balto, 1995;США, Великобритания;мультфильм, драма;8.1
138;kinopoisk.ru/film/627/;Изгой;Cast Away, 2000;США;драма, мелодрама;8.1
139;kinopoisk.ru/film/338/;Звёздные войны: Эпизод 5 – Империя наносит ответный удар;Star Wars: Episode V - The Empire Strikes Back, 1980;США, Великобритания;фантастика, боевик;8.1
140;kinopoisk.ru/film/694633/;Хоббит: Битва пяти воинств;Hobbit: The Battle of the Five Armies, The, 2014;Новая Зеландия, США;фэнтези, приключения;8.1
141;kinopoisk.ru/film/102124/;Пираты Карибского моря: На краю света;Pirates of the Caribbean: At World's End, 2007;США;приключения, боевик;8.1
142;kinopoisk.ru/film/9691/;Бесславные ублюдки;Inglourious Basterds, 2009;США, Германия;боевик, драма;8.1
143;kinopoisk.ru/film/77264/;Шерлок Холмс и доктор Ватсон: Сокровища Агры;1983;СССР;мелодрама, криминал;8.1
144;kinopoisk.ru/film/77283/;Тот самый Мюнхгаузен;1979;СССР;фэнтези, драма;8.1
145;kinopoisk.ru/film/81555/;Загадочная история Бенджамина Баттона;Curious Case of Benjamin Button, The, 2008;США;драма, фэнтези;8.1
146;kinopoisk.ru/film/7724/;Летят журавли;1957;СССР;военный, мелодрама;8.1
147;kinopoisk.ru/film/689066/;Стражи Галактики;Guardians of the Galaxy, 2014;США;фантастика, боевик;8.1
148;kinopoisk.ru/film/1008113/;Таксист;Taeksi unjeonsa, 2017;Корея Южная;история, драма;8.1
149;kinopoisk.ru/film/470553/;Прислуга;Help, The, 2011;США;драма;8.1
150;kinopoisk.ru/film/41431/;Война;2002;Россия;боевик, драма;8.1
151;kinopoisk.ru/film/46789/;12 стульев;1971;СССР;комедия, приключения;8.1
152;kinopoisk.ru/film/251733/;Аватар;Avatar, 2009;США, Великобритания;фантастика, боевик;8.1
153;kinopoisk.ru/film/46638/;Мимино;1977;СССР;драма, комедия;8.1
154;kinopoisk.ru/film/519/;Человек дождя;Rain Man, 1988;США;драма;8.1
155;kinopoisk.ru/film/1015471/;Райя и последний дракон;Raya and the Last Dragon, 2021;США;мультфильм, фэнтези;8.1
156;kinopoisk.ru/film/81733/;Гордость и предубеждение;Pride & Prejudice, 2005;Великобритания, Франция;драма, мелодрама;8.1
157;kinopoisk.ru/film/1091/;Люди в черном;Men in Black, 1997;США;фантастика, боевик;8.1
158;kinopoisk.ru/film/683999/;Отель «Гранд Будапешт»;Grand Budapest Hotel, The, 2014;США, Германия;комедия, приключения;8.1
159;kinopoisk.ru/film/958541/;Легенда о волках;WolfWalkers, 2020;Ирландия, Люксембург;мультфильм, фэнтези;8.1
160;kinopoisk.ru/film/281251/;Мальчик в полосатой пижаме;Boy in the Striped Pyjamas, The, 2008;Великобритания, США;драма, военный;8.1
161;kinopoisk.ru/film/540/;Красавица и чудовище;Beauty and the Beast, 1991;США;мультфильм, мюзикл;8.1
162;kinopoisk.ru/film/46089/;Берегись автомобиля;1966;СССР;криминал, комедия;8.1
163;kinopoisk.ru/film/350/;Славные парни;Goodfellas, 1990;США;драма, криминал;8.1
164;kinopoisk.ru/film/1188529/;Достать ножи;Knives Out, 2019;США;детектив, комедия;8.1
165;kinopoisk.ru/film/7908/;В поисках Немо;Finding Nemo, 2003;США;мультфильм, комедия;8.1
166;kinopoisk.ru/film/965754/;Дело храбрых;Only the Brave, 2017;США;боевик, драма;8.1
167;kinopoisk.ru/film/447/;Звёздные войны: Эпизод 6 – Возвращение Джедая;Star Wars: Episode VI - Return of the Jedi, 1983;США, Великобритания;фантастика, боевик;8.1
168;kinopoisk.ru/film/3442/;Троя;Troy, 2004;США, Мальта;боевик, история;8.1
169;kinopoisk.ru/film/45660/;Вам и не снилось...;1980;СССР;драма, мелодрама;8.1
170;kinopoisk.ru/film/8408/;Гарри Поттер и Кубок огня;Harry Potter and the Goblet of Fire, 2005;Великобритания, США;фэнтези, приключения;8.1
171;kinopoisk.ru/film/2513/;Анастасия;Anastasia, 1997;США;мультфильм, мюзикл;8.1
172;kinopoisk.ru/film/14349/;Такси;Taxi, 1998;Франция;боевик, комедия;8.1
173;kinopoisk.ru/film/42571/;Иди и смотри;1985;СССР;драма, военный;8.1
174;kinopoisk.ru/film/333/;Звёздные войны: Эпизод 4 – Новая надежда;Star Wars, 1977;США, Великобритания;фантастика, боевик;8.1
175;kinopoisk.ru/film/86326/;Счастливое число Слевина;Lucky Number Slevin, 2005;США, Канада;триллер, драма;8.1
176;kinopoisk.ru/film/8125/;Красотка;Pretty Woman, 1990;США;мелодрама, комедия;8.1
177;kinopoisk.ru/film/482/;История игрушек;Toy Story, 1995;США;мультфильм, фэнтези;8.1
178;kinopoisk.ru/film/1254059/;Доктор Лиза;2020;Россия;драма, биография;8.1
179;kinopoisk.ru/film/707/;Ледниковый период;Ice Age, 2002;США;мультфильм, фэнтези;8.1
180;kinopoisk.ru/film/39259/;Профессионал;Le professionnel, 1981;Франция;боевик, триллер;8.1
181;kinopoisk.ru/film/751/;Военный ныряльщик;Men of Honor, 2000;США;драма, биография;8.1
182;kinopoisk.ru/film/808639/;Дурак;2014;Россия;драма;8.1
183;kinopoisk.ru/film/782/;Заплати другому;Pay It Forward, 2000;США;драма;8.1
184;kinopoisk.ru/film/10179/;Блеф;Bluff storia di truffe e di imbroglioni, 1976;Италия;комедия, криминал;8.1
185;kinopoisk.ru/film/260162/;Далласский клуб покупателей;Dallas Buyers Club, 2013;США;драма, биография;8.1
186;kinopoisk.ru/film/939785/;Остров собак;Isle of Dogs, 2018;США, Германия;мультфильм, фантастика;8.1
187;kinopoisk.ru/film/472/;Индиана Джонс и последний крестовый поход;Indiana Jones and the Last Crusade, 1989;США;приключения, боевик;8.1
188;kinopoisk.ru/film/838/;Человек-паук;Spider-Man, 2002;США;фантастика, боевик;8.1
189;kinopoisk.ru/film/102130/;Дом у озера;Lake House, The, 2006;США;фэнтези, драма;8.1
190;kinopoisk.ru/film/1991/;Привидение;Ghost, 1990;США;мелодрама, фэнтези;8.1
191;kinopoisk.ru/film/89515/;Гарри Поттер и Принц-полукровка;Harry Potter and the Half-Blood Prince, 2009;Великобритания;фэнтези, приключения;8.1
