;name;salary;company;link
124;Аналитик данных;150000–300000руб.;FLEETCOR Россия;https://hh.ru/vacancy/51947066?query=data%20analyst
125;Marketing analyst (Маркетинговый аналитик);-;Social Discovery Ventures;https://hh.ru/vacancy/51992890?query=data%20analyst
126;Junior Data scientist;100000–150000руб.;Платформа ОФД;https://hh.ru/vacancy/51632135?query=data%20analyst
127;Data Analyst;-;Сбер. IT;https://hh.ru/vacancy/52028306?query=data%20analyst
128;Lead Data Analyst в команду Сбербанк Онлайн;-;Сбер для экспертов;https://hh.ru/vacancy/52058490?query=data%20analyst
129;Sales Data Analyst (Takeaway);-;Brown Forman;https://hh.ru/vacancy/52008881?query=data%20analyst
130;Data scientist;-;ANABAR;https://hh.ru/vacancy/51883505?query=data%20analyst
131;Аналитик данных;80000–140000руб.;ИП Баскаков Дмитрий Владимирович;https://hh.ru/vacancy/50856547?query=data%20analyst
132;Аналитик BI;до170000руб.;Кадровое агентство Юнити;https://hh.ru/vacancy/52074173?query=data%20analyst
133;Аналитик данных (FP&A);-;ID Finance;https://hh.ru/vacancy/51630841?query=data%20analyst
134;Product analyst;-;red_mad_robot;https://hh.ru/vacancy/50986691?query=data%20analyst
135;Data Scientist /Аналитик данных;-;WIAM;https://hh.ru/vacancy/51263916?query=data%20analyst
136;Data Analyst в Teachers Acquisition;-;Skyeng;https://hh.ru/vacancy/51717656?query=data%20analyst
137;Младший аналитик данных;50000–80000руб.;ИП Баскаков Дмитрий Владимирович;https://hh.ru/vacancy/51612885?query=data%20analyst
138;Senior/Lead Data Analyst;-;VOKI Games;https://hh.ru/vacancy/51956738?query=data%20analyst
139;Data Scientist;-;НПФ БУДУЩЕЕ;https://hh.ru/vacancy/49642851?query=data%20analyst
140;Junior Data Analyst (Customer Care);-;Vivid Money;https://hh.ru/vacancy/52009513?query=data%20analyst
141;Senior Data Scientist;-;ООО Воннаплэй / WannaPlay;https://hh.ru/vacancy/52075170?query=data%20analyst
142;Web Analyst / Marketing Data Analyst;-;Иннова;https://hh.ru/vacancy/40686495?query=data%20analyst
143;Старший аналитик данных;-;Билайн;https://hh.ru/vacancy/51968685?query=data%20analyst
144;Data Scientist;-;Т1 Консалтинг;https://hh.ru/vacancy/52030987?query=data%20analyst
145;Аналитик данных (Data Scientist);-;Группа компаний Лагранж;https://hh.ru/vacancy/51427357?query=data%20analyst
146;Аналитик BI;-;Страховая Компания Allianz;https://hh.ru/vacancy/46210395?query=data%20analyst
147;Продуктовый аналитик;от150000руб.;EGGНEADS;https://hh.ru/vacancy/52048458?query=data%20analyst
148;Analyst;от120000руб.;Droice Labs;https://hh.ru/vacancy/50816436?query=data%20analyst
149;Ведущий аналитик в команду маркетинга;от200000руб.;Zebrainy Limited;https://hh.ru/vacancy/51268510?query=data%20analyst
150;Аналитик BI (middle);-;ООО Диплей;https://hh.ru/vacancy/51902715?query=data%20analyst
151;Data Analyst (Управление торговым пространством);-;Леруа Мерлен. Центральный офис;https://hh.ru/vacancy/49786447?query=data%20analyst
152;Product / Data Analyst (Middle);-;KIVORK;https://hh.ru/vacancy/50801932?query=data%20analyst
153;Senior Data analyst;-;Мегаполис;https://hh.ru/vacancy/50273659?query=data%20analyst
154;Бизнес-аналитик;-;Билайн;https://hh.ru/vacancy/51791285?query=data%20analyst
155;Data analyst в Яндекс.Маркет;-;Яндекс;https://hh.ru/vacancy/44293492?query=data%20analyst
156;Data Analyst/AWS/Azure/Google cloud;от300000руб.;Kaptive by Feynman Labs;https://hh.ru/vacancy/51955597?query=data%20analyst
157;Бизнес-аналитик SQL;-;Билайн;https://hh.ru/vacancy/50066943?query=data%20analyst
158;Research Analyst;-;Red Lions Capital;https://hh.ru/vacancy/50755696?query=data%20analyst
159;Digital Marketing Analyst/ Data Analyst/ Web-analyst;150000–220000руб.;ООО Талала;https://hh.ru/vacancy/49420741?query=data%20analyst
160;Business Analyst;от100000руб.;Staffeks (ИП Волкова Ирина Леонидовна);https://hh.ru/vacancy/52028641?query=data%20analyst
161;Аналитик данных (Tableau);-;Компания «СПОРТМАСТЕР», SM Lab;https://hh.ru/vacancy/52123489?query=data%20analyst
162;Analyst (Pricing);-;Emerging Travel Group (Ostrovok.ru, B2B.Ostrovok, RateHawk, ZenHotels);https://hh.ru/vacancy/52089844?query=data%20analyst
163;Data Scientist в направление «Ценообразование»;-;Профи (profi.ru);https://hh.ru/vacancy/51649877?query=data%20analyst
164;Business Analyst;-;IKEA. Магазины;https://hh.ru/vacancy/50842900?query=data%20analyst
165;Бизнес-аналитик в группу управления данными;-;Райффайзен Банк;https://hh.ru/vacancy/51971122?query=data%20analyst
166;Senior Product Analyst;-;VK;https://hh.ru/vacancy/52099163?query=data%20analyst
167;Data-Scientist;-;Weborama Russia;https://hh.ru/vacancy/50998298?query=data%20analyst
168;Аналитик (количественные исследования);80000–120000руб.;Точка Роста;https://hh.ru/vacancy/51810252?query=data%20analyst
169;Business Analyst Master Data/Master Data specialist;-;adidas, Центральный офис;https://hh.ru/vacancy/51959489?query=data%20analyst
170;Business Analyst (dxFeed);-;Devexperts;https://hh.ru/vacancy/51511454?query=data%20analyst
171;Аналитик данных (блок данных);-;Билайн;https://hh.ru/vacancy/51705198?query=data%20analyst
172;Data инженер;от230000руб.;ОМЕГА;https://hh.ru/vacancy/51356369?query=data%20analyst
173;Data financial analyst;-;Honor;https://hh.ru/vacancy/50041549?query=data%20analyst
174;Sales operations analyst;80000–90000руб.;ООО ВиЭф Сервисес;https://hh.ru/vacancy/51718859?query=data%20analyst
175;Аналитик;от125000руб.;ООО Диджитал Лайн;https://hh.ru/vacancy/49314554?query=data%20analyst
176;Скоринг-аналитик / Data scientist / Аналитик (скоринг);-;Займ-Экспресс;https://hh.ru/vacancy/52119802?query=data%20analyst
177;Data Engineer (Middle);170000–350000руб.;ООО РАБЛЗ;https://hh.ru/vacancy/51361120?query=data%20analyst
178;Дата аналитик (продуктовый аналитик);-;Билайн;https://hh.ru/vacancy/48130862?query=data%20analyst
179;Senior data analyst (Supply chain);-;МАГНИТ, Розничная сеть;https://hh.ru/vacancy/51470572?query=data%20analyst
180;Data Analyst;-;ООО СК «Росгосстрах Жизнь»;https://hh.ru/vacancy/50374527?query=data%20analyst
181;Senior Analyst/ Data Scientist;-;ООО JFL Consulting;https://hh.ru/vacancy/52114231?query=data%20analyst
182;Senior data scientist;от150000руб.;FIRST DATA LLC;https://hh.ru/vacancy/49744980?query=data%20analyst
183;Analyst;-;GfK Rus;https://hh.ru/vacancy/50811886?query=data%20analyst
184;Data Engineer;150000–250000руб.;Кварта;https://hh.ru/vacancy/51056512?query=data%20analyst
185;Retailers Analyst;-;СберМаркет;https://hh.ru/vacancy/50868444?query=data%20analyst
186;Data engineer в EdTech компанию;-;AnyClass;https://hh.ru/vacancy/51956471?query=data%20analyst
