;company;topic;link
27;Чемпионат;"«Стресс задавил». Российский фигурист провалился после нападок от фанатов 
японца";https://www.championat.com/olympicwinter/article-4604815-figurnoe-katanie-na-zimnej-olimpiade-v-pekine-proizvolnaya-programma-muzhchin-kto-takoj-andrej-mozalyov-proval-travlya.html
28;Sports.ru;Медальный зачет 6 февраля Олимпиада 2022 в Пекине ...;https://www.sports.ru/tribuna/blogs/odukhevremeni/3013107.html
29;Спорт-Экспресс;"Медальный зачет Олимпиады-2022, 7 февраля: Россия опустилась на второе 
место, Швеция — первая";https://www.sport-express.ru/olympics/beijing2022/news/olimpiada-2022-v-pekine-medalnyy-zachet-7-fevralya-obschaya-tablica-skolko-nagrad-u-rossii-i-kakoe-mesto-ona-zanimaet-1888410/
30;BBC;"Олимпиада в Пекине: первое золото российским спортсменам принес лыжник 
Александр Большунов";https://www.bbc.com/russian/news-60278301
31;Чемпионат.com;"Фигурное катание на Олимпиаде, мужской турнир. Прямая трансляция, время 
старта";https://www.championat.com/olympicwinter/article-4604557-figurnoe-katanie-na-zimnej-olimpiade-2022-proizvolnaya-programma-muzhchin-vremya-sorevnovanij-gde-smotret-uchastniki.html
32;Чемпионат.com;"Олимпиада-2022. 8 февраля. Лыжи, биатлон, сноуборд — Россию ждёт 
триумфальный день?";https://www.championat.com/olympicwinter/article-4601947-zimnyaya-olimpiada-2022-v-pekine-raspisanie-sorevnovanij-na-8-fevralya-2022-lyzhnyj-sprint-biatlon-snoubord.html
33;Чемпионат.com;"Грандиозный скандал на Олимпиаде. Россия потеряет золото из-за допинг-пробы 
фигуриста?";https://www.championat.com/olympicwinter/article-4603645-skandal-na-olimpiade-2022-so-sbornoj-rossii-doping-proba-figurista-ceremoniya-nagrazhdeniya-chto-sluchilos.html
34;BBC;"Олимпиада-2022: историческая медаль россиян в прыжках с трамплина и 
невероятная Ирен Вюст";https://www.bbc.com/russian/news-60284908
35;Спорт-Экспресс;"Итоги дня на Олимпиаде: возвращение титула у фигуристов и невероятная удача 
летающих лыжников";https://www.sport-express.ru/olympics/beijing2022/reviews/olimpiada-2022-chto-proizoshlo-v-pekine-7-fevralya-obzor-dnya-1888749/
36;Спорт-Экспресс;"Ждем золота от фигуристов, надеемся на биатлонисток. Наша сборная вот-вот 
превзойдет результат Пхенч...";https://www.sport-express.ru/olympics/beijing2022/reviews/olimpiada-2022-anons-sobytiy-7-fevralya-kto-favorit-raspisanie-medalnyh-rozygryshey-sbornaya-rossii-1888267/
